Policy_Id,Policy_State,Policy_Deductible,Insured_Sex,Incident_Severity,Vehicle_Claim_Amount,Vehicle_Age,Num_Of_Claims,Customer_Tenure,Fraud_Reported
POL101180,OH,1000,Male,Minor,1172.4,9,1,6,0
POL108692,NY,1000,Male,Total Loss,10724.403749999998,11,4,2,1
POL100518,OH,1000,Female,Trivial,368.02,1,1,3,0
POL107616,TX,1000,Male,Major,3233.38,15,0,8,1
POL101208,NY,500,Male,Trivial,495.34,16,2,5,0
POL102221,FL,500,Female,Major,4651.57,6,2,9,1
POL100346,PA,1000,Male,Minor,1093.08,17,1,4,0
POL104220,TX,1000,Female,Major,5146.9,5,1,7,1
POL106884,OH,1000,Female,Total Loss,10724.403749999998,5,1,8,1
POL101111,NY,500,Male,Major,4037.16,18,1,4,0
POL106220,IL,1750,Female,Major,5502.62,12,1,8,1
POL101569,FL,1000,Female,Minor,1322.48,6,2,4,0
POL108947,OH,1000,Male,Minor,1680.51,11,0,3,1
POL101692,TX,1000,Male,Minor,1588.36,14,1,3,0
POL107825,OH,1000,Male,Minor,564.72,4,1,9,0
POL103279,IL,1750,Male,Trivial,619.39,5,2,3,0
POL105968,OH,1000,Male,Major,4680.06,9,2,5,0
POL101883,IL,500,Female,Total Loss,10634.49,8,2,2,1
POL104680,NY,1000,Male,Trivial,547.28,4,1,1,1
POL105371,TX,1000,Female,Major,6335.38,13,1,5,1
POL101408,FL,1000,Female,Total Loss,10724.403749999998,1,0,1,1
POL107895,IL,1000,Male,Trivial,555.36,14,0,4,1
POL109266,NY,500,Female,Minor,1420.32,7,3,7,0
POL100039,TX,500,Male,Minor,566.55,7,1,2,0
POL100794,CA,500,Female,Major,6059.59,18,0,7,1
POL109485,PA,500,Male,Minor,10724.403749999998,12,3,1,1
POL103852,PA,1750,Male,Minor,1592.79,5,2,5,1
POL105289,IL,1750,Male,Major,4388.58,15,0,7,0
POL100758,OH,1000,Female,Minor,1595.67,13,0,5,1
POL100321,IL,500,Male,Minor,10724.403749999998,9,1,5,1
POL103053,NY,1000,Female,Minor,916.3,18,1,9,1
POL101224,TX,1000,Male,Major,4831.01,16,0,9,1
POL104803,NY,500,Female,Major,4394.1,15,2,2,0
POL101981,IL,500,Male,Minor,1230.35,16,0,1,1
POL105885,FL,500,Female,Major,5818.01,8,2,7,0
POL100259,CA,500,Male,Total Loss,10724.403749999998,7,4,5,1
POL107381,NY,1000,Female,Minor,1346.41,19,1,3,0
POL101418,FL,1000,Male,Trivial,511.89,15,4,4,0
POL102996,NY,1000,Female,Minor,1553.4,13,2,1,0
POL106021,OH,1000,Female,Minor,1523.37,13,1,6,1
POL106942,PA,1000,Male,Trivial,564.36,18,2,3,0
POL100623,FL,1750,Female,Trivial,603.03,14,0,5,0
POL103485,FL,1750,Male,Minor,1656.04,3,1,6,0
POL104429,IL,500,Male,Trivial,547.02,17,2,4,0
POL108003,OH,1000,Female,Minor,1325.23,17,0,3,0
POL101076,TX,1000,Male,Minor,977.09,13,4,5,0
POL101068,TX,1000,Male,Minor,1347.57,1,1,3,0
POL108327,OH,500,Male,Minor,1804.79,11,0,6,0
POL104883,NY,1000,Male,Major,4420.95,5,2,6,1
POL101175,FL,1000,Female,Trivial,631.05,2,2,8,0
POL100295,FL,1750,Male,Total Loss,10724.403749999998,13,4,9,1
POL105836,OH,1750,Female,Total Loss,10724.403749999998,11,2,1,1
POL106261,OH,1000,Female,Major,5868.17,3,0,1,0
POL105199,NY,1000,Female,Major,3848.52,14,1,4,0
POL105125,PA,500,Female,Major,5108.38,11,1,6,1
POL105028,IL,1000,Male,Total Loss,10724.403749999998,9,3,1,1
POL103149,FL,1000,Female,Minor,2013.89,16,0,8,1
POL103524,NY,1000,Male,Minor,1701.96,1,1,7,0
POL104787,OH,1000,Female,Minor,1547.61,7,0,5,0
POL109659,IL,1000,Female,Trivial,701.63,17,0,9,0
POL103382,CA,1000,Female,Trivial,371.32,15,2,9,0
POL104148,IL,500,Male,Total Loss,10724.403749999998,18,3,1,1
POL108763,OH,1000,Female,Trivial,544.13,4,1,9,0
POL104696,FL,500,Female,Trivial,392.53,9,2,7,0
POL105983,CA,1000,Female,Minor,1190.35,1,1,1,1
POL101578,PA,1000,Female,Minor,1427.71,4,0,3,0
POL102178,PA,1000,Female,Minor,1744.9,5,1,8,0
POL109500,FL,500,Female,Trivial,621.81,19,0,4,1
POL107615,TX,1000,Male,Major,4860.95,3,0,5,1
POL101862,NY,1750,Male,Minor,1463.7,17,0,1,0
POL106646,OH,1750,Female,Trivial,534.53,13,1,5,0
POL108863,PA,500,Male,Trivial,371.84,17,0,6,0
POL101964,FL,1000,Female,Major,5081.31,13,4,9,1
POL105064,IL,500,Female,Trivial,654.11,18,0,1,0
POL105500,FL,1750,Female,Minor,870.93,17,0,6,0
POL108034,IL,1750,Female,Minor,1117.2,9,1,9,0
POL102328,PA,1750,Male,Major,4888.92,17,2,3,1
POL108289,FL,500,Male,Total Loss,10724.403749999998,13,0,1,1
POL104633,OH,1000,Male,Total Loss,10724.403749999998,15,1,7,1
POL103257,NY,1000,Male,Minor,1670.12,16,2,5,0
POL105868,IL,1750,Female,Major,4453.48,12,2,6,1
POL104667,IL,1000,Female,Major,4815.43,19,4,6,1
POL100119,FL,1000,Male,Trivial,432.34,11,2,5,0
POL105794,FL,500,Male,Trivial,548.54,7,0,6,1
POL107782,OH,1000,Female,Minor,1514.05,2,0,6,1
POL105747,OH,500,Female,Minor,1591.82,4,1,6,0
POL108775,CA,1000,Female,Minor,1131.12,13,0,5,0
POL106363,FL,1000,Male,Minor,1233.63,2,0,6,0
POL105070,FL,1750,Male,Major,4908.46,11,1,5,0
POL100487,NY,1750,Female,Major,4335.1,1,1,9,0
POL106608,OH,500,Male,Minor,1048.7,8,1,9,0
POL105559,PA,1750,Female,Major,3902.76,9,1,6,0
POL108962,FL,1000,Female,Minor,1802.56,11,1,5,0
POL106223,TX,1000,Female,Trivial,482.85,12,0,8,0
POL109182,CA,1750,Male,Major,5334.12,10,0,4,0
POL107334,TX,500,Male,Minor,1182.0,7,1,8,0
POL100673,FL,500,Male,Minor,1630.36,8,1,4,1
POL102133,FL,500,Male,Minor,1623.07,10,0,2,0
POL103281,NY,500,Male,Total Loss,10724.403749999998,1,3,1,1
POL100582,FL,1000,Male,Minor,5320.48,18,2,4,1
POL107937,FL,1000,Male,Minor,1458.22,17,0,1,1
POL101402,CA,1750,Male,Total Loss,10724.403749999998,15,1,7,0
POL102960,NY,500,Male,Major,4689.84,3,1,8,1
POL109851,OH,500,Male,Minor,1371.11,6,1,5,0
POL108426,CA,1000,Male,Total Loss,10724.403749999998,14,0,7,1
POL102275,PA,1000,Female,Trivial,535.36,6,2,5,0
POL100311,CA,500,Male,Major,4984.36,8,0,2,0
POL101156,NY,1750,Female,Trivial,414.76,18,0,8,0
POL109120,OH,500,Female,Minor,1427.38,12,1,7,1
POL104229,NY,500,Male,Trivial,477.35,16,0,6,1
POL106243,IL,500,Female,Minor,1717.79,2,0,2,0
POL103353,FL,1000,Male,Trivial,484.81,15,1,4,0
POL100106,TX,500,Female,Trivial,377.46,17,1,9,1
POL103869,CA,1000,Male,Trivial,390.63,6,0,9,0
POL103274,IL,1000,Male,Major,5495.51,1,3,4,0
POL101277,OH,1000,Female,Major,5001.72,19,1,4,0
POL106301,TX,1000,Female,Total Loss,10724.403749999998,13,1,2,1
POL103465,IL,1000,Male,Minor,499.96,16,0,6,0
POL102423,FL,1000,Male,Total Loss,10724.403749999998,4,3,4,1
POL100373,PA,1000,Male,Minor,1899.64,7,1,6,0
POL104180,TX,500,Male,Trivial,387.53,9,3,4,0
POL103023,TX,1000,Male,Minor,1725.34,7,2,8,0
POL104772,NY,1000,Male,Minor,1441.71,10,2,2,0
POL109794,FL,1000,Female,Minor,1543.2,6,0,1,1
POL104553,OH,1750,Male,Minor,1569.96,8,2,1,0
POL108988,IL,1000,Male,Total Loss,10724.403749999998,15,2,8,1
POL103151,NY,500,Male,Trivial,451.52,9,0,3,0
POL105802,NY,1000,Male,Trivial,518.54,10,0,7,0
POL109529,OH,1000,Female,Minor,1371.44,5,0,2,1
POL108710,IL,1750,Female,Minor,1725.67,15,2,3,0
POL106227,OH,1750,Female,Major,7002.17,10,1,4,0
POL103661,FL,500,Male,Major,5106.37,3,0,7,1
POL107841,TX,500,Female,Total Loss,10724.403749999998,1,1,5,1
POL107613,TX,1000,Female,Trivial,557.23,7,2,9,1
POL102109,OH,500,Male,Minor,1462.56,10,1,1,0
POL103942,CA,500,Male,Minor,1714.59,7,2,5,0
POL100029,CA,1000,Male,Trivial,517.64,15,1,4,0
POL105065,CA,1000,Male,Total Loss,10724.403749999998,14,1,8,1
POL101347,TX,500,Female,Minor,1582.43,6,2,3,0
POL102574,NY,1000,Male,Trivial,513.28,6,0,6,0
POL108403,FL,1000,Male,Major,4474.69,18,0,8,0
POL107814,NY,1000,Male,Major,5519.89,19,0,6,1
POL107535,IL,1750,Male,Trivial,444.68,5,3,7,0
POL102406,TX,500,Female,Major,5112.33,4,1,9,1
POL108972,NY,1000,Female,Major,5104.67,19,1,6,0
POL102316,NY,1000,Female,Trivial,437.34,16,3,1,0
POL103785,CA,500,Female,Major,6202.3,11,2,4,1
POL108099,FL,500,Male,Major,4406.33,19,3,2,1
POL106365,FL,1000,Female,Major,5020.78,19,1,9,1
POL106328,FL,1000,Male,Major,4213.05,10,1,5,0
POL100733,FL,1000,Male,Minor,1449.38,6,1,4,0
POL101123,IL,1000,Female,Minor,1758.41,3,1,2,1
POL108748,CA,500,Male,Minor,1776.21,18,0,5,0
POL102926,IL,1000,Male,Major,3964.74,13,2,3,0
POL106350,CA,500,Female,Minor,1716.91,4,2,4,0
POL109973,CA,1750,Female,Major,6138.79,17,0,4,0
POL104060,NY,1000,Female,Minor,1356.42,12,0,8,0
POL103647,TX,1000,Male,Major,5135.37,8,2,5,0
POL103467,PA,1750,Male,Trivial,577.71,16,0,1,0
POL102737,FL,1000,Male,Minor,2025.5,12,0,4,0
POL109098,OH,500,Male,Major,4913.29,17,2,6,1
POL109263,PA,500,Male,Minor,1412.97,17,1,9,0
POL109256,NY,1750,Male,Minor,1654.66,12,1,3,0
POL102554,CA,1000,Female,Trivial,379.85,13,0,8,0
POL105716,NY,500,Male,Major,5699.5,1,1,8,0
POL100932,OH,500,Female,Total Loss,10724.403749999998,19,3,9,1
POL105144,TX,1000,Male,Minor,1671.52,2,2,5,0
POL101501,FL,1750,Male,Total Loss,10724.403749999998,19,1,1,0
POL101183,OH,1000,Male,Minor,1387.92,13,0,7,0
POL108087,IL,500,Female,Major,5003.09,5,1,6,1
POL101864,OH,1000,Male,Minor,1672.34,13,1,4,0
POL105244,IL,500,Male,Minor,1757.78,14,2,7,0
POL100621,NY,500,Female,Trivial,504.09,3,1,9,1
POL101355,OH,500,Male,Major,5085.88,12,2,1,0
POL103315,PA,500,Female,Minor,1395.22,1,1,9,1
POL105034,NY,1000,Female,Major,3898.86,9,2,5,1
POL104509,OH,1000,Female,Minor,1414.58,4,0,1,0
POL101199,CA,1750,Male,Major,4963.37,6,1,2,1
POL108057,NY,1000,Female,Trivial,502.68,7,2,1,1
POL106959,OH,1750,Male,Major,5091.32,11,1,2,1
POL104417,CA,1000,Female,Minor,1631.89,5,1,4,0
POL108191,TX,1000,Male,Trivial,369.11,16,1,2,0
POL100293,TX,1000,Female,Total Loss,10724.403749999998,19,0,4,1
POL109023,TX,1750,Female,Total Loss,10724.403749999998,12,1,1,1
POL109926,TX,1750,Male,Major,5680.67,14,0,6,0
POL108399,OH,500,Male,Major,5216.71,13,1,4,0
POL100318,NY,1000,Male,Minor,1349.22,10,1,7,0
POL101599,OH,1000,Female,Major,5853.33,9,1,5,0
POL101794,CA,1000,Female,Trivial,545.69,4,2,6,0
POL103012,TX,1000,Male,Minor,1104.92,8,0,6,0
POL108672,FL,1000,Female,Minor,1965.02,17,2,3,0
POL100563,CA,500,Female,Major,4814.12,18,2,1,1
POL104539,CA,1000,Female,Major,5022.79,5,1,5,0
POL105991,FL,1000,Male,Total Loss,10724.403749999998,7,0,7,1
POL106064,NY,500,Female,Minor,1572.75,11,2,5,0
POL100761,TX,1000,Male,Trivial,521.84,1,1,7,0
POL100014,NY,1000,Male,Minor,1571.95,15,0,8,0
POL105396,CA,1000,Female,Trivial,472.74,18,2,5,1
POL106209,CA,1000,Female,Trivial,531.44,12,1,5,0
POL108329,FL,1000,Male,Total Loss,10724.403749999998,1,1,5,1
POL105098,TX,1000,Female,Trivial,415.6,19,2,8,0
POL101737,NY,1000,Female,Minor,1731.65,2,1,1,0
POL108262,IL,500,Female,Major,4632.99,5,0,9,1
POL104847,CA,1750,Male,Major,4405.79,2,0,8,0
POL104881,FL,500,Male,Total Loss,10724.403749999998,9,2,5,1
POL107718,TX,500,Male,Trivial,597.05,3,1,9,0
POL106836,TX,1000,Male,Total Loss,10724.403749999998,15,2,7,0
POL108214,TX,1000,Male,Minor,1284.68,1,0,1,1
POL101901,CA,1750,Male,Trivial,429.23,15,1,7,0
POL101747,NY,500,Male,Trivial,499.18,14,0,1,1
POL102913,OH,500,Male,Trivial,677.32,14,0,2,1
POL105477,PA,1000,Female,Total Loss,10724.403749999998,16,1,1,1
POL108046,IL,1750,Male,Major,3943.91,18,1,5,1
POL107567,CA,1750,Female,Minor,1315.31,5,1,1,1
POL108013,NY,1000,Female,Trivial,331.2,7,1,5,0
POL107316,CA,1000,Female,Major,5648.94,10,0,1,1
POL108783,PA,1000,Male,Minor,1349.72,1,0,6,0
POL100510,PA,500,Male,Minor,1437.54,7,2,8,0
POL100092,IL,1000,Female,Minor,1519.02,15,4,7,0
POL108292,CA,1000,Female,Minor,1529.56,12,0,6,0
POL108706,IL,1000,Male,Minor,2139.76,18,1,3,0
POL104165,TX,1000,Male,Minor,1252.68,12,1,5,0
POL103457,PA,500,Female,Major,5432.9,16,2,6,1
POL104112,CA,500,Male,Major,5184.76,16,4,5,1
POL105650,IL,500,Male,Minor,1428.27,1,1,2,1
POL107584,FL,1000,Male,Trivial,484.15,8,0,4,0
POL102614,TX,1750,Male,Major,5512.17,17,1,2,0
POL103790,NY,500,Male,Trivial,687.24,10,1,8,1
POL106086,IL,1000,Male,Minor,1616.36,13,2,6,0
POL104860,PA,500,Male,Total Loss,10724.403749999998,14,1,1,1
POL108333,TX,1000,Male,Major,5369.48,10,0,4,0
POL101807,NY,500,Male,Major,5030.31,18,4,7,0
POL103528,OH,1000,Male,Minor,1531.99,16,1,8,0
POL105262,FL,1000,Male,Minor,1622.38,10,2,7,1
POL101247,CA,1000,Male,Trivial,491.7,6,2,7,0
POL100624,PA,1750,Male,Minor,1559.45,8,2,5,0
POL103710,CA,1000,Male,Major,5175.46,10,1,5,1
POL103399,FL,500,Male,Major,5098.76,18,1,2,1
POL101851,IL,1750,Male,Total Loss,10724.403749999998,9,0,9,1
POL107150,IL,1000,Female,Minor,997.49,9,1,8,0
POL108157,TX,500,Female,Minor,1792.16,13,3,9,1
POL103307,CA,1750,Male,Minor,1574.51,10,1,6,0
POL109143,FL,1000,Male,Minor,1343.34,3,1,6,0
POL108823,CA,1750,Female,Trivial,587.12,6,2,4,0
POL107234,TX,1000,Male,Major,4713.89,9,1,4,0
POL105669,IL,500,Male,Major,4837.57,10,0,6,1
POL109713,NY,500,Female,Major,4886.51,2,2,3,0
POL108991,NY,500,Female,Major,4360.93,7,0,9,1
POL100439,CA,1000,Male,Minor,1421.24,16,1,7,1
POL103424,IL,1750,Female,Minor,1320.39,19,0,5,0
POL105006,IL,500,Male,Major,6326.76,6,0,8,0
POL109253,TX,1000,Male,Major,4507.6,12,0,3,1
POL108103,CA,500,Female,Minor,1820.97,8,1,6,1
POL108069,FL,1750,Female,Major,5383.82,16,3,8,1
POL100388,IL,1750,Female,Minor,1582.89,6,1,1,1
POL102088,IL,1000,Male,Major,4970.07,19,1,8,1
POL106462,OH,500,Female,Trivial,343.88,14,0,8,0
POL106438,CA,1000,Female,Minor,1220.25,1,0,9,0
POL109809,FL,1000,Male,Minor,1529.52,15,1,3,0
POL101453,FL,1000,Female,Minor,1573.59,7,1,1,1
POL106746,PA,1750,Male,Trivial,407.67,13,2,1,0
POL107662,IL,1750,Male,Major,5733.78,5,0,4,1
POL102748,IL,500,Male,Minor,1592.92,4,2,5,0
POL106464,IL,500,Male,Minor,1697.02,8,1,4,1
POL107845,PA,500,Female,Trivial,409.61,15,0,9,0
POL100088,OH,1000,Male,Total Loss,10724.403749999998,7,2,3,1
POL109190,OH,1000,Female,Major,5722.25,14,2,5,1
POL109667,NY,500,Female,Total Loss,10724.403749999998,12,2,5,1
POL105489,OH,1000,Female,Trivial,470.75,2,2,1,0
POL103761,IL,1000,Male,Minor,1570.12,6,2,6,0
POL105351,OH,1000,Female,Trivial,494.06,16,1,6,1
POL104031,NY,1750,Male,Minor,1463.73,15,1,5,1
POL105210,OH,1750,Male,Trivial,569.82,18,1,5,0
POL103132,OH,1000,Male,Trivial,419.47,7,0,5,0
POL104421,OH,1000,Female,Total Loss,10724.403749999998,2,2,5,1
POL108315,NY,1000,Male,Trivial,555.07,16,2,1,0
POL107356,OH,500,Female,Minor,1381.9,4,1,2,0
POL101107,IL,1000,Male,Minor,1291.78,14,0,3,0
POL103543,TX,1750,Female,Minor,1431.04,17,2,9,0
POL101084,OH,1000,Male,Trivial,382.42,2,1,2,0
POL107709,IL,500,Male,Minor,1261.83,4,2,5,0
POL107371,PA,1000,Female,Minor,1553.99,6,1,6,0
POL106983,IL,1750,Female,Minor,1236.5,18,1,1,0
POL104264,PA,1000,Female,Trivial,551.84,14,1,3,0
POL105882,TX,1000,Female,Minor,1334.78,16,1,4,0
